0-1-0,0-0-0,1-1-0,1-0-0,2-1-0,2-0-0,3-1-0,3-0-0,4-1-0,4-0-0,0-1-1,0-0-1,1-1-1,1-0-1,2-1-1,2-0-1,3-1-1,3-0-1,4-1-1,4-0-1,0-1-2,0-0-2,1-1-2,1-0-2,2-1-2,2-0-2,3-1-2,3-0-2,4-1-2,4-0-2,0-1-3,0-0-3,1-1-3,1-0-3,2-1-3,2-0-3,3-1-3,3-0-3,4-1-3,4-0-3,0-1-4,0-0-4,1-1-4,1-0-4,2-1-4,2-0-4,3-1-4,3-0-4,4-1-4,4-0-4,0-1-5,0-0-5,1-1-5,1-0-5,2-1-5,2-0-5,3-1-5,3-0-5,4-1-5,4-0-5,0-1-6,0-0-6,1-1-6,1-0-6,2-1-6,2-0-6,3-1-6,3-0-6,4-1-6,4-0-6,0-1-7,0-0-7,1-1-7,1-0-7,2-1-7,2-0-7,3-1-7,3-0-7,4-1-7,4-0-7,0-1-8,0-0-8,1-1-8,1-0-8,2-1-8,2-0-8,3-1-8,3-0-8,4-1-8,4-0-8,0-1-9,0-0-9,1-1-9,1-0-9,2-1-9,2-0-9,3-1-9,3-0-9,4-1-9,4-0-9
3-0-0,"INFL019,INFL160,INFL346,INFL090,INFL154,INFL178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1-0,"INFL136,INFL137,INFL138,INFL164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-0-0,"INFL164,INFL190,INFL191,INFL137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1-1,"INFL116,INFL321,INFL329,INFL002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0-1,"INFL054,INFL145,INFL146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-1,"INFL002,INFL007,INFL279,INFL330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0-1,"INFL007,INFL142,INFL143,INFL144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1-1,"INFL042,INFL107,INFL151,INFL165,INFL174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-0-1,"INFL107,INFL042,INFL131,INFL183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1-1,"INFL046,INFL133,INFL163,INFL166,INFL156,INFL177,INFL131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
