ID,str_name,str_surname,str_influencer_key,str_youtube
INFL134,Dimma Umeh,Dimma Umeh,INFL134,https://www.youtube.com/watch?v=VbBuaz0qLAA
INFL135,LoveGlam,LoveGlam,INFL135,https://www.youtube.com/watch?v=l-zbMmLUWnQ
INFL136,SimplyKemmie,SimplyKemmie,INFL136,https://www.youtube.com/watch?v=Sk76lxdQWZI
INFL137,QueenyKaay,QueenyKaay,INFL137,https://www.youtube.com/watch?v=eU_TXT6Tkzo
INFL138,ShannyStephens,ShannyStephens,INFL138,https://www.youtube.com/watch?v=vEO8xtyxjTM
INFL138,ShannyStephens,ShannyStephens,INFL138,https://www.youtube.com/watch?v=mkfCKH8KVDw
INFL140,Shahd Batal,Shahd Batal,INFL140,https://www.youtube.com/watch?v=FqnOqnXK570
INFL141,Bianca Malatesta,Bianca Malatesta,INFL141,https://www.youtube.com/watch?v=qxGtG9_vXic
INFL142,Karissa Pukas,Karissa Pukas,INFL142,https://www.youtube.com/watch?v=MrCm5e-3N9U
INFL143,Aubrey Ibrag,Aubrey Ibrag,INFL143,https://www.youtube.com/watch?v=CFMjYKeTlOk
INFL144,Samantha Ravndahl,Samantha Ravndahl,INFL144,https://www.youtube.com/watch?v=ItSEvRNR55c
INFL145,Sammie Jean,Sammie Jean,INFL145,https://www.youtube.com/watch?v=xW2W2bANHu4
INFL146,Camelia Katoozian,Camelia Katoozian,INFL146,https://www.youtube.com/watch?v=IxjSmNglpqI
INFL147,MamiChula8153,MamiChula8153,INFL147,https://www.youtube.com/watch?v=2y963kkzaf4
INFL148,Bronwyn Papineau,Bronwyn Papineau,INFL148,https://www.youtube.com/watch?v=YUO33adijEw
INFL149,NataliaAno,NataliaAno,INFL149,https://www.youtube.com/watch?v=4gU51jZhV14
INFL150,Emily Jean,Emily Jean,INFL150,https://www.youtube.com/watch?v=zwZtOX4a7OI
INFL151,Sazan Hendrix,Sazan Hendrix,INFL151,https://www.youtube.com/watch?v=cKvQbwA9eTU
INFL151,Sazan Hendrix,Sazan Hendrix,INFL151,https://www.youtube.com/watch?v=mFHE9sRxVGY
INFL153,Habiba Da Silva,Habiba Da Silva,INFL153,https://www.youtube.com/watch?v=WxpDcP9V6oI
INFL154,KandidKinks,KandidKinks,INFL154,https://www.youtube.com/watch?v=2LL1lrb5-NI
INFL155,Avielle Amor,Avielle Amor,INFL155,https://www.youtube.com/watch?v=oV9WuWCqJS8
INFL156,BeautyByChichi,BeautyByChichi,INFL156,https://www.youtube.com/watch?v=Y1y8N4p1E_0
INFL157,Jasmine Brown,Jasmine Brown,INFL157,https://www.youtube.com/watch?v=3keueAn-Opc
INFL107,Leyla Rose,Leyla Rose,INFL107,https://www.youtube.com/watch?v=IdwL-UTBfek
INFL159,Asia Jackson,Asia Jackson,INFL159,https://www.youtube.com/watch?v=rmS5uwhc-Zk
INFL160,Ashley Bond,Ashley Bond,INFL160,https://www.youtube.com/watch?v=LWFyfEjwbzQ
INFL161,ThatsSoChey,ThatsSoChey,INFL161,https://www.youtube.com/watch?v=w9KBGcuWbg8
INFL162,Nakia Alexis,Nakia Alexis,INFL162,https://www.youtube.com/watch?v=UYsyMC95nSk
INFL163,KryssArt,KryssArt,INFL163,https://www.youtube.com/watch?v=I3kegX0PBSs
INFL164,Olu Taiwo,Olu Taiwo,INFL164,https://www.youtube.com/watch?v=zL9rC1DWQGE
INFL165,Missy Lynn,Missy Lynn,INFL165,https://www.youtube.com/watch?v=_4yYwLMKe0U
INFL166,VickyLogan,VickyLogan,INFL166,https://www.youtube.com/watch?v=LeBEoLknypU
INFL167,Lisa Aidoo,Lisa Aidoo,INFL167,https://www.youtube.com/watch?v=XDhewWDOfDE
INFL168,Amor Antasia,Amor Antasia,INFL168,https://www.youtube.com/watch?v=oCyxtDOuHuI
INFL169,The Hassell Family,The Hassell Family,INFL169,https://www.youtube.com/watch?v=V_Y6_31LNQA
INFL170,Jenna Juel,Jenna Juel,INFL170,https://www.youtube.com/watch?v=u113k8Jdv64
INFL082,Princess Bellaaa,Princess Bellaaa,INFL082,https://www.youtube.com/watch?v=aax2BupTJzg
INFL172,Nellie Robert ,Nellie Robert ,INFL172,https://www.youtube.com/watch?v=3p_JYxTzYf8
INFL173,Ronke Raji,Ronke Raji,INFL173,https://www.youtube.com/watch?v=1SyGsVfd6SY
INFL174,Beauty Confessionz,Beauty Confessionz,INFL174,https://www.youtube.com/watch?v=_drRq3q8x0g
INFL175,Domonique Robinson ,Domonique Robinson ,INFL175,https://www.youtube.com/watch?v=pW2bt2vCY5I
INFL176,Laura Lee,Laura Lee,INFL176,https://www.youtube.com/watch?v=bgR_PHaRv8Q
INFL177,Symphani Soto ,Symphani Soto ,INFL177,https://www.youtube.com/watch?v=G1wnIdRvJMM
INFL178,Kangai Mwiti,Kangai Mwiti,INFL178,https://www.youtube.com/watch?v=hKk2gTxxo7c
INFL061,Nyma Tang,Nyma Tang,INFL061,https://www.youtube.com/watch?v=H9lNfrhJBTM
INFL180,Rose Kimberly ,Rose Kimberly ,INFL180,https://www.youtube.com/watch?v=4FujfvVeibs
INFL026,Uche Natori,Uche Natori,INFL026,https://www.youtube.com/watch?v=A4emz6JvYOY
INFL182,Emerald Beauty,Emerald Beauty,INFL182,https://www.youtube.com/watch?v=vTAmBDRquT8
INFL183,Aubri Ibrag,Aubri Ibrag,INFL183,https://www.youtube.com/watch?v=CFMjYKeTlOk
INFL051,Jamie Genevieve,Jamie Genevieve,INFL051,https://www.youtube.com/watch?v=EjJ_FteJtI4
INFL185,Holly Boon ,Holly Boon ,INFL185,https://www.youtube.com/watch?v=wsoIS-lVYZw
INFL186,Paige Secosky,Paige Secosky,INFL186,https://www.youtube.com/watch?v=IAJj7dwdLKs
INFL187,Flossy Nubian,Flossy Nubian,INFL187,https://www.youtube.com/watch?v=vNljrN5uhJw
INFL187,Flossy Nubian,Flossy Nubian,INFL187,https://www.youtube.com/watch?v=bxWdyb1OzGg
INFL189,Pretty1234me ,Pretty1234me ,INFL189,https://www.youtube.com/watch?v=5zu-3mUb368
INFL190,Sabrina Dolcy ,Sabrina Dolcy ,INFL190,https://www.youtube.com/watch?v=JGGKdJdNOcg
INFL191,Nikes Canvas ,Nikes Canvas ,INFL191,https://www.youtube.com/watch?v=ukre1iI_Ofc
INFL192,Melissa Merk,Melissa Merk,INFL192,https://www.youtube.com/watch?v=MbB3V-l1__U
INFL115,Conagh Kathleen,Conagh Kathleen,INFL115,https://www.youtube.com/watch?v=WSHjq1ltR-4
INFL194,Sara K ,Sara K ,INFL194,https://www.youtube.com/watch?v=2egn3ZHnB4c&t=4s
INFL195,XO Lizah Beauty,XO Lizah Beauty,INFL195,https://www.youtube.com/watch?v=IVLEQCf1ibk
INFL196,Tiana Cosmetics ,Tiana Cosmetics ,INFL196,https://www.youtube.com/watch?v=eSWPHajD5YU
INFL197,GiGiBeauty,GiGiBeauty,INFL197,https://www.youtube.com/watch?v=BFsOSR7lT7k
INFL138,ShannyStephens,ShannyStephens,INFL138,https://www.youtube.com/watch?v=ZYhEIyZ5PeE
INFL199,MakeupShayla,MakeupShayla,INFL199,https://www.youtube.com/watch?v=BaEI1hLV5qo
INFL200,Ashley Liani,Ashley Liani,INFL200,https://www.youtube.com/watch?v=oU69U0bmfCg
INFL057,Jackie Aina,Jackie Aina,INFL057,https://www.youtube.com/watch?v=_Ct6cY56Tc4
INFL022,MakeupTiffanyJ,MakeupTiffanyJ,INFL022,https://www.youtube.com/watch?v=sUELihmz6OE
INFL203,Jordan Lipscombe,Jordan Lipscombe,INFL203,https://www.youtube.com/watch?v=OFJ_kQ-vBgE
INFL204,Danica Theobald,Danica Theobald,INFL204,https://www.youtube.com/watch?v=WKobg-vrh3k
INFL205,Kenya Aisha,Kenya Aisha,INFL205,https://www.youtube.com/watch?v=I__KKygmZK8
INFL206,Chloe Morton,Chloe Morton,INFL206,https://www.youtube.com/watch?v=WvEepJ3zHP0
INFL207,FlossyNubian,FlossyNubian,INFL207,https://www.youtube.com/watch?v=vNljrN5uhJw
INFL208,MikeyaOnly,MikeyaOnly,INFL208,https://www.youtube.com/watch?v=k4UR6ayefLw
INFL107,Leyla Rose,Leyla Rose,INFL107,https://www.youtube.com/watch?v=RwOwCc_r7PA
INFL210,CocoLili,CocoLili,INFL210,https://www.youtube.com/watch?v=4LZaIvqcE3o
INFL100,James Charles,James Charles,INFL100,https://www.youtube.com/watch?v=4ebAWr3L1M4
INFL212,Snitchery,Snitchery,INFL212,https://www.youtube.com/watch?v=moD8VOTBC10
INFL213,xobrendababe,xobrendababe,INFL213,https://www.youtube.com/watch?v=8fk95zFq5fQ
INFL117,Roxette Arisa,Roxette Arisa,INFL117,https://www.youtube.com/watch?v=yDi9MN5wLXk
INFL097,Melly Sanchez,Melly Sanchez,INFL097,https://www.youtube.com/watch?v=gdA8nNPUyKM
INFL216,MorphineLovesMakeup,MorphineLovesMakeup,INFL216,https://www.youtube.com/watch?v=uOQpXDjaSRw
INFL217,Kasey Rayton,Kasey Rayton,INFL217,https://www.youtube.com/watch?v=-UoyjzbBm4U
INFL002,Lauren Curtis,Lauren Curtis,INFL002,https://www.youtube.com/watch?v=cRWTH3yZG8o
INFL219,BelleJorden,BelleJorden,INFL219,https://www.youtube.com/watch?v=rck_DGg2JRs
INFL220,Ashley Wagner,Ashley Wagner,INFL220,https://www.youtube.com/watch?v=nmuU2qRuOG0
INFL041,Carli Bybel,Carli Bybel,INFL041,https://www.youtube.com/watch?v=JDAH1dIezp4
INFL222,NikkieTutorial,NikkieTutorial,INFL222,https://www.youtube.com/watch?v=WZhRNjcoHvY
INFL223,Gemma Isabella,Gemma Isabella,INFL223,https://www.youtube.com/watch?v=6tkyW4Wvywo
INFL071,ChristiJae,ChristiJae,INFL071,https://www.youtube.com/watch?v=vvWyc7HPNxk
INFL102,NikkieTutorials,NikkieTutorials,INFL102,https://www.youtube.com/watch?v=KMnQFCloJoQ
INFL226,Madi Bernard,Madi Bernard,INFL226,https://www.youtube.com/watch?v=h5_YC-TBCQ8
INFL144,Samantha Ravndahl,Samantha Ravndahl,INFL144,https://www.youtube.com/watch?v=h9fqgarR974
INFL228,Kristina Wilde,Kristina Wilde,INFL228,https://www.youtube.com/watch?v=Hfv8krpvLk8
INFL100,James Charles,James Charles,INFL100,https://www.youtube.com/watch?v=-mJE7aWT50Q
INFL230,Kymberli Brenzell,Kymberli Brenzell,INFL230,https://www.youtube.com/watch?v=_yipvLBmYmE
INFL011,Teni Panosian,Teni Panosian,INFL011,https://www.youtube.com/watch?v=I104Fof_Kwo
INFL232,Holly Boon,Holly Boon,INFL232,https://www.youtube.com/watch?v=foFAURlppvc
INFL233,Katie Snooks,Katie Snooks,INFL233,https://www.youtube.com/watch?v=4VPx3FXIUpg
INFL115,Conagh Kathleen,Conagh Kathleen,INFL115,https://www.youtube.com/watch?v=QJyXr0RtOcg
INFL007,Amanda Ensing,Amanda Ensing,INFL007,https://www.youtube.com/watch?v=HWnCM-IlnDo
INFL236,Stephanie Lange,Stephanie Lange,INFL236,https://www.youtube.com/watch?v=SpbNMKXU93k
INFL237,Symphani Soto,Symphani Soto,INFL237,https://www.youtube.com/watch?v=GlonDtTbcbQ
INFL177,Symphani Soto ,Symphani Soto ,INFL177,https://www.youtube.com/watch?v=3RlTvJIU3-c
INFL002,Lauren Curtis,Lauren Curtis,INFL002,https://www.youtube.com/watch?v=QS2TKChForM
INFL240,PinUpDollAshleyMarie,PinUpDollAshleyMarie,INFL240,https://www.youtube.com/watch?v=oiVUJbiGXHw
INFL241,Charlotte Tilbury,Charlotte Tilbury,INFL241,https://www.youtube.com/watch?v=O4P5VkpdtEY
INFL242,Shaaanxo,Shaaanxo,INFL242,https://www.youtube.com/watch?v=tk6x31AMjiI
INFL243,Still GlamorUs,Still GlamorUs,INFL243,https://www.youtube.com/watch?v=YyAvK8ptS-Q
INFL244,My Pale Skin ,My Pale Skin ,INFL244,https://www.youtube.com/watch?v=UfLH784AnzA
INFL003,thataylaa,thataylaa,INFL003,https://www.youtube.com/watch?v=t0oSlUsC4cs
INFL246,SweetheartFrosty,SweetheartFrosty,INFL246,https://www.youtube.com/watch?v=Rn0Ma7hWBUY
INFL247,Taylor Emmeren,Taylor Emmeren,INFL247,https://www.youtube.com/watch?v=kQy1pFyE7yY
INFL248,Audrey Victoria ,Audrey Victoria ,INFL248,https://www.youtube.com/watch?v=DJQ2H0YuLGg
INFL249,Make up with Jah,Make up with Jah,INFL249,https://www.youtube.com/watch?v=BhqpV8E5DZw
INFL250,Bella Fiori,Bella Fiori,INFL250,https://www.youtube.com/watch?v=1mktgpPY_JE
INFL251,FreeBornNoble ,FreeBornNoble ,INFL251,https://www.youtube.com/watch?v=4wGDlUBuSs4
INFL252,Beauty Hauljj,Beauty Hauljj,INFL252,https://www.youtube.com/watch?v=pjo_a4bG7Qg
INFL253,Esther Kuria,Esther Kuria,INFL253,https://www.youtube.com/watch?v=Gp77n1lF8Ec
