ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_0348,O_504,,O_335,,O_133,,O_412,,D_553,,D_160,,D_227,,D_448,
INFL_0349,O_247,O_248,,O_251,,,,O_578,D_207,D_95,,D_470,,,,D_569
INFL_8121,O_549,O_223,O_256,,,,O_232,,D_38,D_185,D_571,,,,D_471,
INFL_8180,O_350,O_570,,O_316,O_326,,,,D_22,D_95,,D_448,D_573,,,
INFL_0352,O_443,O_534,,O_68,,,O_465,,D_51,,,D_202,,,D_576,
INFL_8002,O_140,O_7,,,O_376,O_552,,,D_84,D_473,,,D_578,D_294,,
INFL_8060,O_73,O_577,,O_427,,,,O_28,D_105,D_95,,D_579,,,,D_580
INFL_8167,O_135,O_578,,,,O_97,O_121,,D_581,D_582,,,,D_362,D_512,
INFL_8114,O_212,O_132,O_195,,,,,O_574,D_84,D_185,D_112,,,,,D_509
INFL_0357,O_317,O_549,O_548,O_72,,,,,D_203,D_38,D_95,D_226,,,,
INFL_0358,O_319,,,O_560,O_6,,,O_146,D_22,,,D_226,D_470,,,D_585
INFL_8161,,,,O_207,O_19,O_5,,,,,,D_586,D_227,D_470,,
INFL_0360,O_188,O_45,O_428,,,,O_334,,D_51,D_582,D_0,,,,D_388,
INFL_8174,O_328,O_319,O_87,,O_92,,,,D_589,D_22,D_470,,D_590,,,
INFL_8019,O_571,O_254,O_251,,,O_40,,,D_207,,D_470,,,D_592,,
INFL_0363,O_165,O_355,O_169,O_517,,,O_263,,D_207,D_71,D_593,D_594,,,D_595,
INFL_0364,O_504,O_81,O_428,O_534,,,,,,D_593,D_0,D_129,,,,
INFL_0365,,O_567,O_552,O_401,,O_125,,,,,D_236,D_248,,D_259,,
INFL_0366,O_347,O_355,O_239,,O_193,,,,D_22,D_71,D_509,,D_598,,,
INFL_8106,O_388,,O_127,O_375,O_25,,,,D_84,,D_599,D_600,D_601,,,
